,CustomerID,number_of_purchases,avg_order_cost,revenue_2020
4074,17924.0,1,279.0,2683.5
4085,17937.0,2,1076.94,2147.34
4093,17949.0,1,1314.0,57196.48
4094,17950.0,1,263.17,219.03
4095,17951.0,2,204.75,599.0400000000001
4096,17954.0,2,64.34,2204.04
4102,17961.0,2,284.875,726.69
4104,17964.0,1,261.76,209.94
4105,17965.0,2,78.4,2465.77
4109,17969.0,1,125.2,103.0
4114,17975.0,2,310.745,3867.32
4119,17980.0,1,295.20000000000005,516.25
4125,17990.0,2,158.0,314.84000000000003
4130,17999.0,1,190.34,191.72
4142,18016.0,1,156.65,1326.91
4155,18037.0,1,31.3,38.72
4157,18041.0,2,317.145,3549.1
4159,18043.0,1,316.46,243.05
4160,18044.0,1,74.25,2014.35
4165,18055.0,3,583.7066666666666,5033.07
4169,18061.0,1,405.16,1714.25
4172,18065.0,1,345.02,2047.81
4177,18071.0,1,258.95,194.05
4181,18075.0,1,198.95,2412.8
4182,18077.0,2,198.165,2236.68
4189,18085.0,1,303.90000000000003,386.05
4193,18092.0,3,950.88,6215.62
4198,18097.0,1,182.52,2515.28
4201,18102.0,2,13917.305,231822.69
4206,18109.0,2,276.375,7500.22
4211,18116.0,3,221.85666666666668,752.46
4213,18118.0,2,304.255,5045.31
4231,18144.0,2,251.325,2386.1
4240,18156.0,1,206.23,528.71
4248,18168.0,2,224.97,720.0
4257,18178.0,1,300.65000000000003,1290.16
4287,18219.0,2,195.03,1679.71
4291,18223.0,1,501.69,5982.85
4293,18225.0,1,30.0,5479.12
4297,18229.0,2,326.6,6623.7
4305,18239.0,1,438.1,1123.51
4309,18245.0,1,365.73,2201.33
4318,18259.0,1,376.3,1962.3
4319,18260.0,1,230.7,2412.5
